 stabbr, psuid, wt_nrdad, lolv, lnlv, hhmn, lolvnliv, r_type, grnd_cn, singmult, r_res3, lowflor, bldg_age, r_basemt, basentr, gaswthtr, tight, ventfreq
WV    ,            38,    7673.018,       0.718,       0.718,       0.718, 2     ,  1    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  1    ,  2    ,  4    
WV    ,            38,    7673.018,       1.032,       1.032,       1.032, 2     ,  1    , 1     , 2     , 3     ,  2    , 98    ,  2    , 77    ,  1    ,  1    ,  4    
WV    ,            38,    7673.018,       1.057,       1.057,       1.057, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  3    ,  2    
WV    ,            38,    7673.018,       1.210,       1.210,       1.210, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  2    
WV    ,            38,    7673.018,       1.615,       1.615,       1.615, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  3    
WV    ,            38,    7673.018,       0.749,       0.749,       0.749, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  3    ,  5    
WV    ,            38,    7673.018,       0.688,       0.688,       0.678, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  1    ,  2    
WV    ,            38,    7673.018,       2.805,       2.805,       2.805, 2     ,  1    , 1     , 2     , 3     , 77    , 98    ,  2    , 77    ,  1    ,  2    ,  5    
WV    ,            38,    7673.018,       1.007,       1.007,       1.007, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  3    ,  2    
WV    ,            38,    7673.018,       1.729,       1.729,       1.729, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  5    
WV    ,            38,    6394.182,       1.342,       1.342,       1.342, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  4    
WV    ,            38,    6218.925,       2.927,       2.927,       2.428, 2     ,  1    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  3    
WV    ,            38,    6218.925,       0.867,       0.867,       0.485, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  1    ,  4    
WV    ,            38,    6394.182,       0.577,       0.577,       0.608, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  1    ,  3    ,  5    
WV    ,            38,    6394.182,       0.232,       0.232,       0.297, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  1    ,  2    ,  1    
WV    ,            38,    6394.182,       0.407,       0.407,       0.394, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  1    ,  2    ,  4    
WV    ,            38,    7673.018,       0.755,       0.755,       0.755, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  2    , 77    ,  2    ,  1    ,  2    
WV    ,            38,    7673.018,       0.662,       0.662,       0.662, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  1    ,  3    
WV    ,            38,    7673.018,       1.506,       1.506,       1.506, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  1    ,  2    ,  2    
WV    ,            38,    7673.018,       0.916,       0.916,       0.916, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  2    , 77    ,  1    ,  1    ,  3    
MD    ,            25,    8008.562,       3.488,       3.488,       2.941, 2     ,  3    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,       3.289,       3.429,       3.289, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,    8008.562,       4.301,       4.301,       3.424, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,       3.439,       5.213,       3.439, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,    8008.562,       2.790,       2.790,       2.358, 2     ,  3    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,    8008.562,       1.525,       1.525,       1.343, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,    8008.562,       3.200,       3.200,       1.974, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  1    ,  2    ,  1    
MD    ,            25,    8026.232,       1.463,       1.463,       1.463, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  2    , 77    ,  2    ,  2    ,  4    
MD    ,            25,   12500.341,      10.166,      10.166,       9.175, 2     ,  2    , 1     , 2     , 3     ,  1    ,  3    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,   12500.341,      20.045,      20.045,      19.775, 2     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,   12500.341,      10.870,      10.870,       7.148, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  3    
MD    ,            25,   12500.341,      10.881,      10.881,       7.713, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  4    
MD    ,            25,   12500.341,      16.733,      39.154,      16.533, 1     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  3    ,  3    
MD    ,            25,   12500.341,      16.434,      16.434,      10.346, 2     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,   12500.341,       3.902,       3.902,       3.008, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  2    ,  5    
MD    ,            25,   13945.445,       7.937,       7.937,       7.717, 2     , 77    , 1     , 1     , 1     ,  1    ,  3    ,  2    , 77    ,  2    ,  1    ,  4    
MD    ,            25,   12500.341,       6.299,      14.100,       6.370, 1     ,  2    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  4    
MD    ,            25,   12500.341,       5.997,       5.997,       2.527, 2     ,  4    , 1     , 2     , 3     ,  1    ,  4    ,  1    ,  1    ,  2    ,  2    , 96    
MD    ,            25,   12500.341,      11.261,      16.867,      11.261, 1     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  2    ,  2    
MD    ,            25,   12500.341,       6.744,       6.744,       3.720, 2     ,  2    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  3    ,  2    
MD    ,            25,   12500.341,       8.548,       8.548,       7.047, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  4    
MD    ,            25,   12500.341,      12.736,      12.736,      11.984, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,       4.071,       4.071,       3.029, 2     ,  1    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,    8026.232,       0.731,       0.731,       0.731, 2     ,  1    , 1     , 2     , 3     , 77    ,  1    ,  2    , 77    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,      14.381,      24.445,      14.381, 1     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,    8008.562,       1.835,       3.409,       1.835, 1     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,       1.135,       2.662,       1.135, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  2    ,  2    ,  1    ,  1    
MD    ,            25,    8008.562,       9.578,      22.524,       9.578, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,    8008.562,      13.103,      13.103,      11.101, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,    8008.562,       5.288,       6.130,       5.288, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  4    
MD    ,            25,    8008.562,       5.139,       5.139,       3.821, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  3    ,  5    
MD    ,            25,    8008.562,       4.729,       4.729,       2.954, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,       3.335,       3.335,       2.415, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  4    
MD    ,            25,    8008.562,       0.509,       1.405,       0.557, 1     ,  5    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  1    
MD    ,            25,    8008.562,       1.157,       2.521,       1.157, 1     ,  1    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  5    
MD    ,            25,    8026.232,       1.561,       1.561,       1.561, 2     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  2    , 77    ,  2    ,  1    ,  5    
MD    ,            25,    8934.393,       6.117,       6.117,       4.659, 2     , 77    , 1     , 1     , 1     ,  1    ,  5    ,  1    ,  1    ,  1    ,  3    ,  1    
MD    ,            25,    8026.232,       0.229,       0.229,       0.229, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  2    ,  4    
MD    ,            25,    8008.562,       9.952,      25.737,       9.952, 1     ,  1    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,    8026.232,       1.123,       1.123,       0.923, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  2    ,  1    ,  5    
MD    ,            25,    8008.562,       0.604,       1.176,       0.604, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    , 98    ,  1    
MD    ,            25,    8008.562,       3.792,       3.792,       2.715, 2     ,  5    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  2    
MD    ,            25,    6706.071,       8.767,      18.304,       8.767, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,    6706.071,       0.345,       1.074,       0.411, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  4    
MD    ,            25,    8008.562,       0.545,       1.185,       0.435, 1     ,  5    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  3    
MD    ,            25,    8934.393,       1.389,       1.389,       1.389, 2     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  2    ,  2    ,  1    ,  2    
MD    ,            25,    8934.393,       0.359,       0.359,       0.335, 2     , 77    , 2     , 1     , 1     ,  2    ,  6    ,  1    ,  2    ,  2    ,  3    ,  2    
MD    ,            25,    8008.562,       0.936,       4.026,       0.818, 1     ,  5    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  3    ,  1    
MD    ,            25,    8008.562,       2.223,       6.692,       2.261, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  2    
MD    ,            25,    8298.469,       2.134,       1.355,       1.577, 1     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  2    ,  2    ,  1    ,  1    
MD    ,            25,    8298.469,       1.022,       1.022,       1.022, 2     ,  5    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  2    , 94    ,  1    ,  4    
MD    ,            25,    8298.469,       0.916,       0.916,       0.916, 2     ,  4    , 2     , 1     , 1     , 98    ,  6    ,  1    ,  2    ,  2    ,  2    ,  2    
MD    ,            25,    7438.536,       0.454,       0.454,       0.398, 2     ,  4    , 1     , 2     , 3     , 77    , 94    ,  1    , 94    ,  2    ,  3    ,  1    
MD    ,            25,    8298.469,       0.872,       0.872,       0.872, 2     , 77    , 1     , 1     , 1     ,  1    , 94    ,  1    ,  2    ,  2    ,  1    , 98    
PA    ,            29,    7454.949,       1.081,       1.081,       1.056, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  3    ,  2    
PA    ,            29,    7438.536,       8.868,       8.868,       4.845, 2     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       0.926,       1.388,       0.818, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  2    
PA    ,            29,    7438.536,       2.693,       2.693,       2.109, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
PA    ,            29,    7438.536,       2.007,       5.727,       2.210, 1     ,  5    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
PA    ,            29,    7438.536,       3.605,       3.605,       3.933, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  2    ,  2    
PA    ,            29,    7438.536,       2.300,       4.730,       2.300, 1     ,  1    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  4    
PA    ,            29,    7438.536,       0.703,       1.491,       0.640, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  3    ,  3    
PA    ,            29,    8298.469,       0.233,       1.788,       0.174, 1     , 77    , 1     , 1     , 1     ,  1    , 94    ,  1    ,  1    ,  2    ,  3    ,  1    
PA    ,            29,    7438.536,       0.447,       1.193,       0.447, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  2    ,  2    ,  2    ,  2    
PA    ,            29,    7454.949,       1.073,       1.073,       1.043, 2     ,  2    , 1     , 2     , 3     , 77    ,  4    ,  2    , 77    ,  1    ,  3    , 96    
PA    ,            29,    7438.536,       0.103,       1.834,       0.103, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  3    ,  3    
PA    ,            29,    7438.536,       0.462,       1.104,       0.462, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  2    ,  2    
PA    ,            29,    7438.536,       0.948,       2.068,       0.923, 1     ,  2    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       1.585,       1.585,       1.178, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
PA    ,            29,    7438.536,       1.081,       1.081,       0.842, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    , 96    
PA    ,            29,    6915.391,       2.305,       3.341,       1.646, 1     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  2    ,  3    ,  4    
PA    ,            29,    6915.391,       0.744,       2.302,       0.644, 1     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    6915.391,       1.012,       1.012,       1.012, 2     , 77    , 1     , 1     , 1     ,  1    ,  5    ,  2    , 77    ,  2    ,  1    ,  1    
PA    ,            29,    6915.391,       0.441,       0.441,       0.441, 2     , 77    , 1     , 1     , 1     ,  1    , 94    ,  2    , 77    ,  2    ,  3    ,  1    
PA    ,            29,    6212.457,       0.581,       0.581,       0.460, 2     ,  3    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  4    
PA    ,            29,    6212.457,       0.539,       0.539,       0.437, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  4    
PA    ,            29,    6212.457,       0.333,       0.333,       0.403, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  1    
PA    ,            29,    6212.457,       0.656,       0.656,       0.543, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  3    ,  2    
PA    ,            29,    6198.780,       0.681,       0.681,       0.517, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  3    ,  2    
PA    ,            29,    6212.457,       0.467,       0.467,       0.418, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    , 94    
PA    ,            29,    6212.457,       0.515,       0.515,       0.480, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  2    
PA    ,            29,    7438.536,       2.268,       2.268,       1.805, 2     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  4    
PA    ,            29,    7438.536,       0.967,       3.556,       0.967, 1     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       1.424,       2.454,       1.424, 1     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  1    
PA    ,            29,    7438.536,       0.866,       0.866,       0.773, 2     ,  1    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       1.388,       1.388,       1.133, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       3.410,       3.410,       2.042, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  3    ,  1    
PA    ,            29,    7438.536,       2.576,       2.576,       1.783, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  1    
PA    ,            29,    8298.469,       0.512,       0.512,       0.561, 2     , 77    , 1     , 1     , 1     ,  1    ,  6    ,  2    , 77    ,  2    ,  3    ,  2    
PA    ,            29,    7438.536,       2.818,      12.765,       2.818, 1     ,  1    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  1    
PA    ,            29,    7438.536,       1.303,       2.323,       1.286, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  2    
PA    ,            29,    7438.536,       2.327,       2.327,       2.164, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       1.571,       1.571,       0.926, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  2    
PA    ,            29,    7438.536,       0.362,       0.709,       0.387, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
PA    ,            29,    7438.536,       1.338,       1.338,       0.997, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  3    ,  2    
PA    ,            29,    7438.536,       6.360,       6.360,       4.781, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
PA    ,            29,    7438.536,       5.380,       5.380,       2.622, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  1    
PA    ,            29,    7438.536,       2.912,       2.912,       2.313, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  4    
PA    ,            29,    7438.536,       5.995,       5.995,       4.070, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  3    ,  1    
PA    ,            29,    7454.949,       3.891,       3.891,       3.821, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  1    
PA    ,            29,    7454.949,       1.583,       1.583,       1.474, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  2    ,  1    
PA    ,            29,    7454.949,       2.524,       2.524,       2.496, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  1    ,  1    ,  5    
VA    ,            36,    8261.012,       0.741,       0.741,       0.741, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       0.912,       1.994,       0.912, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       2.659,       5.228,       2.308, 1     ,  5    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  1    ,  1    ,  1    
VA    ,            36,    8034.588,       0.902,       1.977,       0.902, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  2    
VA    ,            36,    8034.588,       2.235,       4.270,       2.235, 1     ,  3    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       4.212,       4.212,       3.871, 2     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  3    
VA    ,            36,    8034.588,       4.104,       7.487,       4.104, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  3    
VA    ,            36,    8034.588,       0.888,       1.952,       0.888, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  1    
VA    ,            36,    8034.588,       2.342,       2.342,       1.849, 2     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       6.127,       6.127,       4.882, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  3    
VA    ,            36,    8034.588,       2.746,       5.150,       2.746, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       1.170,       1.170,       1.014, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    6727.864,       5.449,       5.449,       5.449, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
VA    ,            36,    8511.094,       0.952,       0.952,       0.952, 2     , 77    , 2     , 1     , 1     , 98    ,  4    ,  2    , 77    ,  2    ,  1    ,  5    
VA    ,            36,    6917.463,       0.739,       0.739,       0.739, 2     , 77    , 1     , 2     , 2     , 77    ,  2    ,  2    , 77    ,  2    ,  2    ,  5    
VA    ,            36,    8511.094,       3.479,       3.479,       3.479, 2     , 77    , 1     , 1     , 1     ,  1    ,  1    ,  2    , 77    ,  2    ,  1    ,  1    
VA    ,            36,    6917.463,       2.004,       2.004,       2.004, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  1    ,  2    
VA    ,            36,    8034.588,       0.344,       1.016,       0.344, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       5.883,       5.883,       3.677, 2     ,  5    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  2    ,  1    
VA    ,            36,    8034.588,       5.563,       9.997,       5.563, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  2    ,  2    ,  1    ,  1    
VA    ,            36,    8261.012,       0.527,       0.527,       0.527, 2     , 77    , 1     , 2     , 2     , 77    ,  4    ,  2    , 77    ,  2    ,  2    ,  1    
VA    ,            36,    8261.012,       1.534,       1.534,       1.534, 2     , 77    , 1     , 2     , 2     , 77    ,  2    ,  2    , 77    ,  2    ,  1    ,  5    
VA    ,            36,    8034.588,       1.757,       3.789,       1.773, 1     ,  5    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
VA    ,            36,    8261.012,       0.832,       0.832,       0.832, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    , 77    ,  2    ,  2    ,  2    
VA    ,            36,    8261.012,       0.360,       0.360,       0.360, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  1    ,  2    ,  1    
VA    ,            36,    8034.588,       1.570,       1.729,       1.570, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  2    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       0.801,       1.803,       0.801, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  2    ,  2    
VA    ,            36,    8034.588,       1.277,       2.622,       1.277, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       0.884,       2.803,       0.860, 1     ,  2    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    , 98    ,  2    ,  1    
VA    ,            36,    8034.588,       3.423,       3.423,       3.292, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8261.012,       0.813,       0.813,       0.813, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       5.030,       6.005,       5.030, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
VA    ,            36,    8034.588,       1.492,       2.991,       1.492, 1     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
VA    ,            36,    8034.588,       0.584,       1.429,       0.584, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8261.012,       0.309,       0.309,       0.309, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  2    ,  1    ,  1    
VA    ,            36,    8034.588,       2.981,       2.981,       2.573, 2     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
VA    ,            36,    8034.588,       1.099,       2.315,       1.099, 1     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  1    
VA    ,            36,    8261.012,       0.619,       0.619,       0.619, 2     ,  1    , 1     , 2     , 3     , 77    , 98    ,  2    , 98    ,  1    ,  2    ,  2    
VA    ,            36,    8261.012,       0.275,       0.275,       0.275, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  2    , 77    ,  2    ,  2    ,  2    
VA    ,            36,    8261.012,       0.587,       0.587,       0.587, 2     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  2    , 77    ,  2    ,  2    ,  3    
VA    ,            36,    8261.012,       0.992,       0.992,       1.017, 2     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  2    , 77    ,  2    ,  1    ,  1    
VA    ,            36,    8511.094,       1.194,       1.194,       1.194, 2     , 77    , 2     , 1     , 1     ,  2    ,  3    ,  2    , 77    ,  2    ,  2    ,  2    
VA    ,            36,    6727.864,       4.021,       4.021,       4.213, 2     ,  4    , 1     , 2     , 3     , 77    ,  3    ,  1    ,  1    ,  2    ,  1    ,  4    
VA    ,            36,    8261.012,       0.922,       0.922,       0.922, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  2    ,  2    ,  2    ,  2    ,  3    
